entity,perturbation_type,fact_type,true_value,wrong_value,question,correct_statement,false_premise
Milk,person,film_director_swap,Gus Van Sant,Lee Jung-hyo,How did the visual style of director Lee Jung-hyo manifest in the cinematography of their film Milk?,"The film Milk was directed by Gus Van Sant, not Lee Jung-hyo. Lee Jung-hyo was likely a collaborator or from a similar era.",The question incorrectly states Lee Jung-hyo instead of the correct value Gus Van Sant.
Million Dollar Baby,person,film_director_swap,Clint Eastwood,Jean-Luc Godard,How did the visual style of director Jean-Luc Godard manifest in the cinematography of their film Million Dollar Baby?,"The film Million Dollar Baby was directed by Clint Eastwood, not Jean-Luc Godard. Jean-Luc Godard was likely a collaborator or from a similar era.",The question incorrectly states Jean-Luc Godard instead of the correct value Clint Eastwood.
Minions,person,film_director_swap,Kyle Balda,John Stevenson,How did the visual style of director John Stevenson manifest in the cinematography of their film Minions?,"The film Minions was directed by Kyle Balda, not John Stevenson. John Stevenson was likely a collaborator or from a similar era.",The question incorrectly states John Stevenson instead of the correct value Kyle Balda.
Minions: The Rise of Gru,person,film_director_swap,Kyle Balda,Jacobo Calderón,How did the visual style of director Jacobo Calderón manifest in the cinematography of their film Minions: The Rise of Gru?,"The film Minions: The Rise of Gru was directed by Kyle Balda, not Jacobo Calderón. Jacobo Calderón was likely a collaborator or from a similar era.",The question incorrectly states Jacobo Calderón instead of the correct value Kyle Balda.
Minority Report,person,film_director_swap,Steven Spielberg,Robert Lieberman,How did the visual style of director Robert Lieberman manifest in the cinematography of their film Minority Report?,"The film Minority Report was directed by Steven Spielberg, not Robert Lieberman. Robert Lieberman was likely a collaborator or from a similar era.",The question incorrectly states Robert Lieberman instead of the correct value Steven Spielberg.
Mission: Impossible,person,film_director_swap,Brian De Palma,Carl Tibbetts,How did the visual style of director Carl Tibbetts manifest in the cinematography of their film Mission: Impossible?,"The film Mission: Impossible was directed by Brian De Palma, not Carl Tibbetts. Carl Tibbetts was likely a collaborator or from a similar era.",The question incorrectly states Carl Tibbetts instead of the correct value Brian De Palma.
Mission: Impossible 2,person,film_director_swap,John Woo,Danny Boyle,How did the visual style of director Danny Boyle manifest in the cinematography of their film Mission: Impossible 2?,"The film Mission: Impossible 2 was directed by John Woo, not Danny Boyle. Danny Boyle was likely a collaborator or from a similar era.",The question incorrectly states Danny Boyle instead of the correct value John Woo.
Mission: Impossible – Dead Reckoning Part One,person,film_director_swap,Christopher McQuarrie,James L. Brooks,How did the visual style of director James L. Brooks manifest in the cinematography of their film Mission: Impossible – Dead Reckoning Part One?,"The film Mission: Impossible – Dead Reckoning Part One was directed by Christopher McQuarrie, not James L. Brooks. James L. Brooks was likely a collaborator or from a similar era.",The question incorrectly states James L. Brooks instead of the correct value Christopher McQuarrie.
Mission: Impossible – Fallout,person,film_director_swap,Christopher McQuarrie,Jonathan Demme,How did the visual style of director Jonathan Demme manifest in the cinematography of their film Mission: Impossible – Fallout?,"The film Mission: Impossible – Fallout was directed by Christopher McQuarrie, not Jonathan Demme. Jonathan Demme was likely a collaborator or from a similar era.",The question incorrectly states Jonathan Demme instead of the correct value Christopher McQuarrie.
Mission: Impossible – Ghost Protocol,person,film_director_swap,Brad Bird,Rondell Sheridan,How did the visual style of director Rondell Sheridan manifest in the cinematography of their film Mission: Impossible – Ghost Protocol?,"The film Mission: Impossible – Ghost Protocol was directed by Brad Bird, not Rondell Sheridan. Rondell Sheridan was likely a collaborator or from a similar era.",The question incorrectly states Rondell Sheridan instead of the correct value Brad Bird.
Mission: Impossible III,person,film_director_swap,J. J. Abrams,Marc Webb,How did the visual style of director Marc Webb manifest in the cinematography of their film Mission: Impossible III?,"The film Mission: Impossible III was directed by J. J. Abrams, not Marc Webb. Marc Webb was likely a collaborator or from a similar era.",The question incorrectly states Marc Webb instead of the correct value J. J. Abrams.
Mission: Impossible – Rogue Nation,person,film_director_swap,Christopher McQuarrie,Guy Hamilton,How did the visual style of director Guy Hamilton manifest in the cinematography of their film Mission: Impossible – Rogue Nation?,"The film Mission: Impossible – Rogue Nation was directed by Christopher McQuarrie, not Guy Hamilton. Guy Hamilton was likely a collaborator or from a similar era.",The question incorrectly states Guy Hamilton instead of the correct value Christopher McQuarrie.
Modern Times,person,film_director_swap,Charlie Chaplin,Rob Cohen,How did the visual style of director Rob Cohen manifest in the cinematography of their film Modern Times?,"The film Modern Times was directed by Charlie Chaplin, not Rob Cohen. Rob Cohen was likely a collaborator or from a similar era.",The question incorrectly states Rob Cohen instead of the correct value Charlie Chaplin.
Moneyball,person,film_director_swap,Bennett Miller,John Milius,How did the visual style of director John Milius manifest in the cinematography of their film Moneyball?,"The film Moneyball was directed by Bennett Miller, not John Milius. John Milius was likely a collaborator or from a similar era.",The question incorrectly states John Milius instead of the correct value Bennett Miller.
Monty Python and the Holy Grail,person,film_director_swap,Terry Gilliam,Vladimir Menshov,How did the visual style of director Vladimir Menshov manifest in the cinematography of their film Monty Python and the Holy Grail?,"The film Monty Python and the Holy Grail was directed by Terry Gilliam, not Vladimir Menshov. Vladimir Menshov was likely a collaborator or from a similar era.",The question incorrectly states Vladimir Menshov instead of the correct value Terry Gilliam.
Monty Python’s Life of Brian,person,film_director_swap,Terry Jones,Mike Nichols,How did the visual style of director Mike Nichols manifest in the cinematography of their film Monty Python’s Life of Brian?,"The film Monty Python’s Life of Brian was directed by Terry Jones, not Mike Nichols. Mike Nichols was likely a collaborator or from a similar era.",The question incorrectly states Mike Nichols instead of the correct value Terry Jones.
Moonlight,person,film_director_swap,Barry Jenkins,Andy Warhol,How did the visual style of director Andy Warhol manifest in the cinematography of their film Moonlight?,"The film Moonlight was directed by Barry Jenkins, not Andy Warhol. Andy Warhol was likely a collaborator or from a similar era.",The question incorrectly states Andy Warhol instead of the correct value Barry Jenkins.
Moonraker,person,film_director_swap,Lewis Gilbert,Kevin Lima,How did the visual style of director Kevin Lima manifest in the cinematography of their film Moonraker?,"The film Moonraker was directed by Lewis Gilbert, not Kevin Lima. Kevin Lima was likely a collaborator or from a similar era.",The question incorrectly states Kevin Lima instead of the correct value Lewis Gilbert.
Moscow Does Not Believe in Tears,person,film_director_swap,Vladimir Menshov,Brian Pimental,How did the visual style of director Brian Pimental manifest in the cinematography of their film Moscow Does Not Believe in Tears?,"The film Moscow Does Not Believe in Tears was directed by Vladimir Menshov, not Brian Pimental. Brian Pimental was likely a collaborator or from a similar era.",The question incorrectly states Brian Pimental instead of the correct value Vladimir Menshov.
Moulin Rouge!,person,film_director_swap,Baz Luhrmann,J. A. Bayona,How did the visual style of director J. A. Bayona manifest in the cinematography of their film Moulin Rouge!?,"The film Moulin Rouge! was directed by Baz Luhrmann, not J. A. Bayona. J. A. Bayona was likely a collaborator or from a similar era.",The question incorrectly states J. A. Bayona instead of the correct value Baz Luhrmann.
Mr. & Mrs. Smith,person,film_director_swap,Doug Liman,F. W. Murnau,How did the visual style of director F. W. Murnau manifest in the cinematography of their film Mr. & Mrs. Smith?,"The film Mr. & Mrs. Smith was directed by Doug Liman, not F. W. Murnau. F. W. Murnau was likely a collaborator or from a similar era.",The question incorrectly states F. W. Murnau instead of the correct value Doug Liman.
Mrs. Doubtfire,person,film_director_swap,Chris Columbus,James Algar,How did the visual style of director James Algar manifest in the cinematography of their film Mrs. Doubtfire?,"The film Mrs. Doubtfire was directed by Chris Columbus, not James Algar. James Algar was likely a collaborator or from a similar era.",The question incorrectly states James Algar instead of the correct value Chris Columbus.
Mrs. Miniver,person,film_director_swap,William Wyler,Charise Castro Smith,How did the visual style of director Charise Castro Smith manifest in the cinematography of their film Mrs. Miniver?,"The film Mrs. Miniver was directed by William Wyler, not Charise Castro Smith. Charise Castro Smith was likely a collaborator or from a similar era.",The question incorrectly states Charise Castro Smith instead of the correct value William Wyler.
Mulholland Drive,person,film_director_swap,David Lynch,Tim Boxell,How did the visual style of director Tim Boxell manifest in the cinematography of their film Mulholland Drive?,"The film Mulholland Drive was directed by David Lynch, not Tim Boxell. Tim Boxell was likely a collaborator or from a similar era.",The question incorrectly states Tim Boxell instead of the correct value David Lynch.
Munich,person,film_director_swap,Steven Spielberg,John R. Dilworth,How did the visual style of director John R. Dilworth manifest in the cinematography of their film Munich?,"The film Munich was directed by Steven Spielberg, not John R. Dilworth. John R. Dilworth was likely a collaborator or from a similar era.",The question incorrectly states John R. Dilworth instead of the correct value Steven Spielberg.
Mutiny on the Bounty,person,film_director_swap,Frank Lloyd,Mateusz Kanik,How did the visual style of director Mateusz Kanik manifest in the cinematography of their film Mutiny on the Bounty?,"The film Mutiny on the Bounty was directed by Frank Lloyd, not Mateusz Kanik. Mateusz Kanik was likely a collaborator or from a similar era.",The question incorrectly states Mateusz Kanik instead of the correct value Frank Lloyd.
My Fair Lady,person,film_director_swap,George Cukor,William A. Wellman,How did the visual style of director William A. Wellman manifest in the cinematography of their film My Fair Lady?,"The film My Fair Lady was directed by George Cukor, not William A. Wellman. William A. Wellman was likely a collaborator or from a similar era.",The question incorrectly states William A. Wellman instead of the correct value George Cukor.
My Neighbor Totoro,person,film_director_swap,Hayao Miyazaki,Aaron Blaise,How did the visual style of director Aaron Blaise manifest in the cinematography of their film My Neighbor Totoro?,"The film My Neighbor Totoro was directed by Hayao Miyazaki, not Aaron Blaise. Aaron Blaise was likely a collaborator or from a similar era.",The question incorrectly states Aaron Blaise instead of the correct value Hayao Miyazaki.
Mystic River,person,film_director_swap,Clint Eastwood,Richard Starzak,How did the visual style of director Richard Starzak manifest in the cinematography of their film Mystic River?,"The film Mystic River was directed by Clint Eastwood, not Richard Starzak. Richard Starzak was likely a collaborator or from a similar era.",The question incorrectly states Richard Starzak instead of the correct value Clint Eastwood.
Never Say Never Again,person,film_director_swap,Irvin Kershner,Miguel Sapochnik,How did the visual style of director Miguel Sapochnik manifest in the cinematography of their film Never Say Never Again?,"The film Never Say Never Again was directed by Irvin Kershner, not Miguel Sapochnik. Miguel Sapochnik was likely a collaborator or from a similar era.",The question incorrectly states Miguel Sapochnik instead of the correct value Irvin Kershner.
Night at the Museum,person,film_director_swap,Shawn Levy,Kyle Balda,How did the visual style of director Kyle Balda manifest in the cinematography of their film Night at the Museum?,"The film Night at the Museum was directed by Shawn Levy, not Kyle Balda. Kyle Balda was likely a collaborator or from a similar era.",The question incorrectly states Kyle Balda instead of the correct value Shawn Levy.
Night of the Living Dead,person,film_director_swap,George A. Romero,Jonathan Kaplan,How did the visual style of director Jonathan Kaplan manifest in the cinematography of their film Night of the Living Dead?,"The film Night of the Living Dead was directed by George A. Romero, not Jonathan Kaplan. Jonathan Kaplan was likely a collaborator or from a similar era.",The question incorrectly states Jonathan Kaplan instead of the correct value George A. Romero.
Noah,person,film_director_swap,Darren Aronofsky,Aviva Slesin,How did the visual style of director Aviva Slesin manifest in the cinematography of their film Noah?,"The film Noah was directed by Darren Aronofsky, not Aviva Slesin. Aviva Slesin was likely a collaborator or from a similar era.",The question incorrectly states Aviva Slesin instead of the correct value Darren Aronofsky.
No Country for Old Men,person,film_director_swap,Ethan Coen,David O. Russell,How did the visual style of director David O. Russell manifest in the cinematography of their film No Country for Old Men?,"The film No Country for Old Men was directed by Ethan Coen, not David O. Russell. David O. Russell was likely a collaborator or from a similar era.",The question incorrectly states David O. Russell instead of the correct value Ethan Coen.
Nomadland,person,film_director_swap,Chloé Zhao,Jill Culton,How did the visual style of director Jill Culton manifest in the cinematography of their film Nomadland?,"The film Nomadland was directed by Chloé Zhao, not Jill Culton. Jill Culton was likely a collaborator or from a similar era.",The question incorrectly states Jill Culton instead of the correct value Chloé Zhao.
North by Northwest,person,film_director_swap,Alfred Hitchcock,Peter Weir,How did the visual style of director Peter Weir manifest in the cinematography of their film North by Northwest?,"The film North by Northwest was directed by Alfred Hitchcock, not Peter Weir. Peter Weir was likely a collaborator or from a similar era.",The question incorrectly states Peter Weir instead of the correct value Alfred Hitchcock.
Nosferatu,person,film_director_swap,F. W. Murnau,Sylvester Stallone,How did the visual style of director Sylvester Stallone manifest in the cinematography of their film Nosferatu?,"The film Nosferatu was directed by F. W. Murnau, not Sylvester Stallone. Sylvester Stallone was likely a collaborator or from a similar era.",The question incorrectly states Sylvester Stallone instead of the correct value F. W. Murnau.
No Time to Die,person,film_director_swap,Cary Joji Fukunaga,Mark Andrews,How did the visual style of director Mark Andrews manifest in the cinematography of their film No Time to Die?,"The film No Time to Die was directed by Cary Joji Fukunaga, not Mark Andrews. Mark Andrews was likely a collaborator or from a similar era.",The question incorrectly states Mark Andrews instead of the correct value Cary Joji Fukunaga.
Notting Hill,person,film_director_swap,Roger Michell,Peyton Reed,How did the visual style of director Peyton Reed manifest in the cinematography of their film Notting Hill?,"The film Notting Hill was directed by Roger Michell, not Peyton Reed. Peyton Reed was likely a collaborator or from a similar era.",The question incorrectly states Peyton Reed instead of the correct value Roger Michell.
Now You See Me,person,film_director_swap,Louis Leterrier,Kátia Lund,How did the visual style of director Kátia Lund manifest in the cinematography of their film Now You See Me?,"The film Now You See Me was directed by Louis Leterrier, not Kátia Lund. Kátia Lund was likely a collaborator or from a similar era.",The question incorrectly states Kátia Lund instead of the correct value Louis Leterrier.
"O Brother, Where Art Thou?",person,film_director_swap,Ethan Coen,Taylor Hackford,"How did the visual style of director Taylor Hackford manifest in the cinematography of their film O Brother, Where Art Thou??","The film O Brother, Where Art Thou? was directed by Ethan Coen, not Taylor Hackford. Taylor Hackford was likely a collaborator or from a similar era.",The question incorrectly states Taylor Hackford instead of the correct value Ethan Coen.
Ocean's Eleven,person,film_director_swap,Steven Soderbergh,Don Bluth,How did the visual style of director Don Bluth manifest in the cinematography of their film Ocean's Eleven?,"The film Ocean's Eleven was directed by Steven Soderbergh, not Don Bluth. Don Bluth was likely a collaborator or from a similar era.",The question incorrectly states Don Bluth instead of the correct value Steven Soderbergh.
Octopussy,person,film_director_swap,John Glen,Genndy Tartakovsky,How did the visual style of director Genndy Tartakovsky manifest in the cinematography of their film Octopussy?,"The film Octopussy was directed by John Glen, not Genndy Tartakovsky. Genndy Tartakovsky was likely a collaborator or from a similar era.",The question incorrectly states Genndy Tartakovsky instead of the correct value John Glen.
Oldboy,person,film_director_swap,Park Chan-wook,Mike Newell,How did the visual style of director Mike Newell manifest in the cinematography of their film Oldboy?,"The film Oldboy was directed by Park Chan-wook, not Mike Newell. Mike Newell was likely a collaborator or from a similar era.",The question incorrectly states Mike Newell instead of the correct value Park Chan-wook.
Once Upon a Time in America,person,film_director_swap,Sergio Leone,Christopher Miller,How did the visual style of director Christopher Miller manifest in the cinematography of their film Once Upon a Time in America?,"The film Once Upon a Time in America was directed by Sergio Leone, not Christopher Miller. Christopher Miller was likely a collaborator or from a similar era.",The question incorrectly states Christopher Miller instead of the correct value Sergio Leone.
Once Upon a Time in Hollywood,person,film_director_swap,Quentin Tarantino,Gus Van Sant,How did the visual style of director Gus Van Sant manifest in the cinematography of their film Once Upon a Time in Hollywood?,"The film Once Upon a Time in Hollywood was directed by Quentin Tarantino, not Gus Van Sant. Gus Van Sant was likely a collaborator or from a similar era.",The question incorrectly states Gus Van Sant instead of the correct value Quentin Tarantino.
Once Upon a Time in the West,person,film_director_swap,Sergio Leone,Karey Kirkpatrick,How did the visual style of director Karey Kirkpatrick manifest in the cinematography of their film Once Upon a Time in the West?,"The film Once Upon a Time in the West was directed by Sergio Leone, not Karey Kirkpatrick. Karey Kirkpatrick was likely a collaborator or from a similar era.",The question incorrectly states Karey Kirkpatrick instead of the correct value Sergio Leone.
One Flew Over the Cuckoo's Nest,person,film_director_swap,Miloš Forman,Ruben Fleischer,How did the visual style of director Ruben Fleischer manifest in the cinematography of their film One Flew Over the Cuckoo's Nest?,"The film One Flew Over the Cuckoo's Nest was directed by Miloš Forman, not Ruben Fleischer. Ruben Fleischer was likely a collaborator or from a similar era.",The question incorrectly states Ruben Fleischer instead of the correct value Miloš Forman.
On Her Majesty's Secret Service,person,film_director_swap,Peter R. Hunt,Louis J. Horvitz,How did the visual style of director Louis J. Horvitz manifest in the cinematography of their film On Her Majesty's Secret Service?,"The film On Her Majesty's Secret Service was directed by Peter R. Hunt, not Louis J. Horvitz. Louis J. Horvitz was likely a collaborator or from a similar era.",The question incorrectly states Louis J. Horvitz instead of the correct value Peter R. Hunt.
On the Waterfront,person,film_director_swap,Elia Kazan,Chris Bailey,How did the visual style of director Chris Bailey manifest in the cinematography of their film On the Waterfront?,"The film On the Waterfront was directed by Elia Kazan, not Chris Bailey. Chris Bailey was likely a collaborator or from a similar era.",The question incorrectly states Chris Bailey instead of the correct value Elia Kazan.
Onward,person,film_director_swap,Dan Scanlon,Andrew Niccol,How did the visual style of director Andrew Niccol manifest in the cinematography of their film Onward?,"The film Onward was directed by Dan Scanlon, not Andrew Niccol. Andrew Niccol was likely a collaborator or from a similar era.",The question incorrectly states Andrew Niccol instead of the correct value Dan Scanlon.
Open Season,person,film_director_swap,Anthony Stacchi,Phil Lord,How did the visual style of director Phil Lord manifest in the cinematography of their film Open Season?,"The film Open Season was directed by Anthony Stacchi, not Phil Lord. Phil Lord was likely a collaborator or from a similar era.",The question incorrectly states Phil Lord instead of the correct value Anthony Stacchi.
Oppenheimer,person,film_director_swap,Christopher Nolan,Franco Marazzi,How did the visual style of director Franco Marazzi manifest in the cinematography of their film Oppenheimer?,"The film Oppenheimer was directed by Christopher Nolan, not Franco Marazzi. Franco Marazzi was likely a collaborator or from a similar era.",The question incorrectly states Franco Marazzi instead of the correct value Christopher Nolan.
Out of Africa,person,film_director_swap,Sydney Pollack,Sam Peckinpah,How did the visual style of director Sam Peckinpah manifest in the cinematography of their film Out of Africa?,"The film Out of Africa was directed by Sydney Pollack, not Sam Peckinpah. Sam Peckinpah was likely a collaborator or from a similar era.",The question incorrectly states Sam Peckinpah instead of the correct value Sydney Pollack.
Pan's Labyrinth,person,film_director_swap,Guillermo del Toro,Daniel Vávra,How did the visual style of director Daniel Vávra manifest in the cinematography of their film Pan's Labyrinth?,"The film Pan's Labyrinth was directed by Guillermo del Toro, not Daniel Vávra. Daniel Vávra was likely a collaborator or from a similar era.",The question incorrectly states Daniel Vávra instead of the correct value Guillermo del Toro.
Parasite,person,film_director_swap,Bong Joon-ho,Irvin Kershner,How did the visual style of director Irvin Kershner manifest in the cinematography of their film Parasite?,"The film Parasite was directed by Bong Joon-ho, not Irvin Kershner. Irvin Kershner was likely a collaborator or from a similar era.",The question incorrectly states Irvin Kershner instead of the correct value Bong Joon-ho.
Passengers,person,film_director_swap,Morten Tyldum,Mike Rianda,How did the visual style of director Mike Rianda manifest in the cinematography of their film Passengers?,"The film Passengers was directed by Morten Tyldum, not Mike Rianda. Mike Rianda was likely a collaborator or from a similar era.",The question incorrectly states Mike Rianda instead of the correct value Morten Tyldum.
Patton,person,film_director_swap,Franklin J. Schaffner,Alan J. Pakula,How did the visual style of director Alan J. Pakula manifest in the cinematography of their film Patton?,"The film Patton was directed by Franklin J. Schaffner, not Alan J. Pakula. Alan J. Pakula was likely a collaborator or from a similar era.",The question incorrectly states Alan J. Pakula instead of the correct value Franklin J. Schaffner.
Pearl Harbor,person,film_director_swap,Michael Bay,Miloš Forman,How did the visual style of director Miloš Forman manifest in the cinematography of their film Pearl Harbor?,"The film Pearl Harbor was directed by Michael Bay, not Miloš Forman. Miloš Forman was likely a collaborator or from a similar era.",The question incorrectly states Miloš Forman instead of the correct value Michael Bay.
Penguins of Madagascar,person,film_director_swap,Eric Darnell,John Stevenson,How did the visual style of director John Stevenson manifest in the cinematography of their film Penguins of Madagascar?,"The film Penguins of Madagascar was directed by Eric Darnell, not John Stevenson. John Stevenson was likely a collaborator or from a similar era.",The question incorrectly states John Stevenson instead of the correct value Eric Darnell.
Peter Pan,person,film_director_swap,Clyde Geronimi,Espen Sandberg,How did the visual style of director Espen Sandberg manifest in the cinematography of their film Peter Pan?,"The film Peter Pan was directed by Clyde Geronimi, not Espen Sandberg. Espen Sandberg was likely a collaborator or from a similar era.",The question incorrectly states Espen Sandberg instead of the correct value Clyde Geronimi.
Philadelphia,person,film_director_swap,Jonathan Demme,Kyle Balda,How did the visual style of director Kyle Balda manifest in the cinematography of their film Philadelphia?,"The film Philadelphia was directed by Jonathan Demme, not Kyle Balda. Kyle Balda was likely a collaborator or from a similar era.",The question incorrectly states Kyle Balda instead of the correct value Jonathan Demme.
Pirates of the Caribbean: At World's End,person,film_director_swap,Gore Verbinski,Charles Haid,How did the visual style of director Charles Haid manifest in the cinematography of their film Pirates of the Caribbean: At World's End?,"The film Pirates of the Caribbean: At World's End was directed by Gore Verbinski, not Charles Haid. Charles Haid was likely a collaborator or from a similar era.",The question incorrectly states Charles Haid instead of the correct value Gore Verbinski.
Pirates of the Caribbean: Dead Man's Chest,person,film_director_swap,Gore Verbinski,Rian Johnson,How did the visual style of director Rian Johnson manifest in the cinematography of their film Pirates of the Caribbean: Dead Man's Chest?,"The film Pirates of the Caribbean: Dead Man's Chest was directed by Gore Verbinski, not Rian Johnson. Rian Johnson was likely a collaborator or from a similar era.",The question incorrectly states Rian Johnson instead of the correct value Gore Verbinski.
Pirates of the Caribbean: Dead Men Tell no Tales,person,film_director_swap,Espen Sandberg,Wolfgang Becker,How did the visual style of director Wolfgang Becker manifest in the cinematography of their film Pirates of the Caribbean: Dead Men Tell no Tales?,"The film Pirates of the Caribbean: Dead Men Tell no Tales was directed by Espen Sandberg, not Wolfgang Becker. Wolfgang Becker was likely a collaborator or from a similar era.",The question incorrectly states Wolfgang Becker instead of the correct value Espen Sandberg.
Pirates of the Caribbean: On Stranger Tides,person,film_director_swap,Rob Marshall,Mario Piluso,How did the visual style of director Mario Piluso manifest in the cinematography of their film Pirates of the Caribbean: On Stranger Tides?,"The film Pirates of the Caribbean: On Stranger Tides was directed by Rob Marshall, not Mario Piluso. Mario Piluso was likely a collaborator or from a similar era.",The question incorrectly states Mario Piluso instead of the correct value Rob Marshall.
Pirates of the Caribbean: The Curse of the Black Pearl,person,film_director_swap,Gore Verbinski,Scott Winant,How did the visual style of director Scott Winant manifest in the cinematography of their film Pirates of the Caribbean: The Curse of the Black Pearl?,"The film Pirates of the Caribbean: The Curse of the Black Pearl was directed by Gore Verbinski, not Scott Winant. Scott Winant was likely a collaborator or from a similar era.",The question incorrectly states Scott Winant instead of the correct value Gore Verbinski.
Planet of the Apes,person,film_director_swap,Franklin J. Schaffner,Hamish Hamilton,How did the visual style of director Hamish Hamilton manifest in the cinematography of their film Planet of the Apes?,"The film Planet of the Apes was directed by Franklin J. Schaffner, not Hamish Hamilton. Hamish Hamilton was likely a collaborator or from a similar era.",The question incorrectly states Hamish Hamilton instead of the correct value Franklin J. Schaffner.
Platoon,person,film_director_swap,Oliver Stone,Sam Catlin,How did the visual style of director Sam Catlin manifest in the cinematography of their film Platoon?,"The film Platoon was directed by Oliver Stone, not Sam Catlin. Sam Catlin was likely a collaborator or from a similar era.",The question incorrectly states Sam Catlin instead of the correct value Oliver Stone.
Predator,person,film_director_swap,John McTiernan,George P. Cosmatos,How did the visual style of director George P. Cosmatos manifest in the cinematography of their film Predator?,"The film Predator was directed by John McTiernan, not George P. Cosmatos. George P. Cosmatos was likely a collaborator or from a similar era.",The question incorrectly states George P. Cosmatos instead of the correct value John McTiernan.
Pretty Woman,person,film_director_swap,Garry Marshall,Jonathan Mostow,How did the visual style of director Jonathan Mostow manifest in the cinematography of their film Pretty Woman?,"The film Pretty Woman was directed by Garry Marshall, not Jonathan Mostow. Jonathan Mostow was likely a collaborator or from a similar era.",The question incorrectly states Jonathan Mostow instead of the correct value Garry Marshall.
Pride & Prejudice,person,film_director_swap,Joe Wright,Wolfgang Reitherman,How did the visual style of director Wolfgang Reitherman manifest in the cinematography of their film Pride & Prejudice?,"The film Pride & Prejudice was directed by Joe Wright, not Wolfgang Reitherman. Wolfgang Reitherman was likely a collaborator or from a similar era.",The question incorrectly states Wolfgang Reitherman instead of the correct value Joe Wright.
Prometheus,person,film_director_swap,Ridley Scott,Linda Lee Cadwell,How did the visual style of director Linda Lee Cadwell manifest in the cinematography of their film Prometheus?,"The film Prometheus was directed by Ridley Scott, not Linda Lee Cadwell. Linda Lee Cadwell was likely a collaborator or from a similar era.",The question incorrectly states Linda Lee Cadwell instead of the correct value Ridley Scott.
Psycho,person,film_director_swap,Alfred Hitchcock,Lee Unkrich,How did the visual style of director Lee Unkrich manifest in the cinematography of their film Psycho?,"The film Psycho was directed by Alfred Hitchcock, not Lee Unkrich. Lee Unkrich was likely a collaborator or from a similar era.",The question incorrectly states Lee Unkrich instead of the correct value Alfred Hitchcock.
Public Enemies,person,film_director_swap,Michael Mann,Franklin J. Schaffner,How did the visual style of director Franklin J. Schaffner manifest in the cinematography of their film Public Enemies?,"The film Public Enemies was directed by Michael Mann, not Franklin J. Schaffner. Franklin J. Schaffner was likely a collaborator or from a similar era.",The question incorrectly states Franklin J. Schaffner instead of the correct value Michael Mann.
Pulp Fiction,person,film_director_swap,Quentin Tarantino,Kim Hee-won,How did the visual style of director Kim Hee-won manifest in the cinematography of their film Pulp Fiction?,"The film Pulp Fiction was directed by Quentin Tarantino, not Kim Hee-won. Kim Hee-won was likely a collaborator or from a similar era.",The question incorrectly states Kim Hee-won instead of the correct value Quentin Tarantino.
Quantum of Solace,person,film_director_swap,Marc Forster,Mike Thurmeier,How did the visual style of director Mike Thurmeier manifest in the cinematography of their film Quantum of Solace?,"The film Quantum of Solace was directed by Marc Forster, not Mike Thurmeier. Mike Thurmeier was likely a collaborator or from a similar era.",The question incorrectly states Mike Thurmeier instead of the correct value Marc Forster.
Raging Bull,person,film_director_swap,Martin Scorsese,Colin Jost,How did the visual style of director Colin Jost manifest in the cinematography of their film Raging Bull?,"The film Raging Bull was directed by Martin Scorsese, not Colin Jost. Colin Jost was likely a collaborator or from a similar era.",The question incorrectly states Colin Jost instead of the correct value Martin Scorsese.
Raiders of the Lost Ark,person,film_director_swap,Steven Spielberg,Johan Renck,How did the visual style of director Johan Renck manifest in the cinematography of their film Raiders of the Lost Ark?,"The film Raiders of the Lost Ark was directed by Steven Spielberg, not Johan Renck. Johan Renck was likely a collaborator or from a similar era.",The question incorrectly states Johan Renck instead of the correct value Steven Spielberg.
Rain Man,person,film_director_swap,Barry Levinson,David Slade,How did the visual style of director David Slade manifest in the cinematography of their film Rain Man?,"The film Rain Man was directed by Barry Levinson, not David Slade. David Slade was likely a collaborator or from a similar era.",The question incorrectly states David Slade instead of the correct value Barry Levinson.
Rambo: First Blood Part II,person,film_director_swap,George P. Cosmatos,Paul Miller,How did the visual style of director Paul Miller manifest in the cinematography of their film Rambo: First Blood Part II?,"The film Rambo: First Blood Part II was directed by George P. Cosmatos, not Paul Miller. Paul Miller was likely a collaborator or from a similar era.",The question incorrectly states Paul Miller instead of the correct value George P. Cosmatos.
Rambo III,person,film_director_swap,Peter MacDonald,Mark Waters,How did the visual style of director Mark Waters manifest in the cinematography of their film Rambo III?,"The film Rambo III was directed by Peter MacDonald, not Mark Waters. Mark Waters was likely a collaborator or from a similar era.",The question incorrectly states Mark Waters instead of the correct value Peter MacDonald.
Ran,person,film_director_swap,Akira Kurosawa,Steve Loter,How did the visual style of director Steve Loter manifest in the cinematography of their film Ran?,"The film Ran was directed by Akira Kurosawa, not Steve Loter. Steve Loter was likely a collaborator or from a similar era.",The question incorrectly states Steve Loter instead of the correct value Akira Kurosawa.
Rashomon,person,film_director_swap,Akira Kurosawa,Chuck Jones,How did the visual style of director Chuck Jones manifest in the cinematography of their film Rashomon?,"The film Rashomon was directed by Akira Kurosawa, not Chuck Jones. Chuck Jones was likely a collaborator or from a similar era.",The question incorrectly states Chuck Jones instead of the correct value Akira Kurosawa.
