entity1,entity2,answer,question
Tatort with Max Ballauf,Hannes Stöhr,Tatort: Odins Rache,Which episode of Tatort with Max Ballauf was written by Hannes Stöhr?
Tatort with Max Ballauf,Hans Werner,Tatort: Familienbande,Which episode of Tatort with Max Ballauf was written by Hans Werner?
Tatort with Max Ballauf,Peter Goslicki,Tatort: Familienbande,Which episode of Tatort with Max Ballauf was written by Peter Goslicki?
Tatort with Max Ballauf,Ralf Leuther,Tatort: Kaltes Herz,Which episode of Tatort with Max Ballauf was written by Ralf Leuther?
Tatort with Max Ballauf,Wolfgang Mühlbauer,Tatort: Gefährliche Freundschaft,Which episode of Tatort with Max Ballauf was written by Wolfgang Mühlbauer?
Tatort with Max Ballauf,Züli Aladağ,Tatort: Mutterliebe,Which episode of Tatort with Max Ballauf was written by Züli Aladağ?
Tatort with Moritz Eisner,Alrun Fichtenbauer,Tatort: Tod unter der Orgel,Which episode of Tatort with Moritz Eisner was written by Alrun Fichtenbauer?
Tatort with Moritz Eisner,Dieter Berner,Tatort: Die schlafende Schöne,Which episode of Tatort with Moritz Eisner was written by Dieter Berner?
Tatort with Moritz Eisner,Fabian Eder,Tatort: Kein Entkommen,Which episode of Tatort with Moritz Eisner was written by Fabian Eder?
Tatort with Moritz Eisner,Holger Barthel,Tatort: Der Wächter der Quelle,Which episode of Tatort with Moritz Eisner was written by Holger Barthel?
Tatort with Moritz Eisner,Ivo Schneider,Tatort: Verschwörung,Which episode of Tatort with Moritz Eisner was written by Ivo Schneider?
Tatort with Moritz Eisner,Karin Lomot,"Tatort: Alles was Recht ist, Tatort: Pumpen",Which episode of Tatort with Moritz Eisner was written by Karin Lomot?
Tatort with Moritz Eisner,Lukas Alexander,Tatort: Tödliche Tagung,Which episode of Tatort with Moritz Eisner was written by Lukas Alexander?
Tatort with Moritz Eisner,Max Gruber,"Tatort: Operation Hiob, Tatort: Deckname Kidon",Which episode of Tatort with Moritz Eisner was written by Max Gruber?
Tatort with Moritz Eisner,Michael Zickler,Tatort: Die Faust,Which episode of Tatort with Moritz Eisner was written by Michael Zickler?
Tatort with Moritz Eisner,Mike Majzen,Tatort: Die Amme,Which episode of Tatort with Moritz Eisner was written by Mike Majzen?
Tatort with Moritz Eisner,Peter Conolly-Smith,Tatort: Nie wieder Oper,Which episode of Tatort with Moritz Eisner was written by Peter Conolly-Smith?
Tatort with Moritz Eisner,Peter Moser,Tatort: Der Millenniumsmörder,Which episode of Tatort with Moritz Eisner was written by Peter Moser?
Tatort with Moritz Eisner,Robert Adrian Pejo,Tatort: Nie wieder Oper,Which episode of Tatort with Moritz Eisner was written by Robert Adrian Pejo?
Tatort with Moritz Eisner,Roland Gugganig,Tatort: Absolute Diskretion,Which episode of Tatort with Moritz Eisner was written by Roland Gugganig?
Tatort with Moritz Eisner,Rudolf John,Tatort: Absolute Diskretion,Which episode of Tatort with Moritz Eisner was written by Rudolf John?
Tatort with Moritz Eisner,Samuel R. Schultschik,"Tatort: Unten, Tatort: Dein Verlust",Which episode of Tatort with Moritz Eisner was written by Samuel R. Schultschik?
Tatort with Moritz Eisner,Thomas Christian Eichtinger,"Tatort: Unten, Tatort: Dein Verlust",Which episode of Tatort with Moritz Eisner was written by Thomas Christian Eichtinger?
Tatort with Moritz Eisner,Verena Kurth,"Tatort: Gier, Tatort: Zwischen den Fronten",Which episode of Tatort with Moritz Eisner was written by Verena Kurth?
Tatort with Moritz Eisner,Walter Bannert,Tatort: Kinderwunsch,Which episode of Tatort with Moritz Eisner was written by Walter Bannert?
Tatort with Odenthal and Kopper,Annette Bassfeld-Schepers,"Tatort: Gefährliches Schweigen, Tatort: Schatten der Angst",Which episode of Tatort with Odenthal and Kopper was written by Annette Bassfeld-Schepers?
Tatort with Odenthal and Kopper,Dominik Reding,Tatort: Fette Krieger,Which episode of Tatort with Odenthal and Kopper was written by Dominik Reding?
Tatort with Odenthal and Kopper,Hans Gerd Müller-Welters,Tatort: Tod einer Lehrerin,Which episode of Tatort with Odenthal and Kopper was written by Hans Gerd Müller-Welters?
Tatort with Odenthal and Kopper,Isolde Sammer,Tatort: Nachtwanderer,Which episode of Tatort with Odenthal and Kopper was written by Isolde Sammer?
Tatort with Odenthal and Kopper,Josh Broecker,Tatort: Tödliche Häppchen,Which episode of Tatort with Odenthal and Kopper was written by Josh Broecker?
Tatort with Odenthal and Kopper,Jürgen Starbatty,Tatort: Die dunkle Seite,Which episode of Tatort with Odenthal and Kopper was written by Jürgen Starbatty?
Tatort with Odenthal and Kopper,Martin Pristl,"Tatort: Flashback, Tatort: Ohne Beweise",Which episode of Tatort with Odenthal and Kopper was written by Martin Pristl?
Tatort with Odenthal and Kopper,Stephan Falk,Tatort: Kassensturz,Which episode of Tatort with Odenthal and Kopper was written by Stephan Falk?
The Blue Coats,Fred Neidhardt,De l'or pour les Bleus,Which episode of The Blue Coats was written by Fred Neidhardt?
The Blue Coats,Kris,Du feu sur la glace,Which episode of The Blue Coats was written by Kris?
The Williams School,,Gloria Schaffer,Which United States politician was educated at The Williams School
Thomas H. Ince,J. Frank Burke,Civilization,Which movie directed by Thomas H. Ince features J. Frank Burke?
Thomas H. Ince,William Eagle Shirt,The Invaders,Which movie directed by Thomas H. Ince features William Eagle Shirt?
Timothy Bible College,,Clayton Randall Douglas,Which United States politician was educated at Timothy Bible College
Tobruk University,,Mohamed al-Menfi,Which United States politician was educated at Tobruk University
Tom Cherones,Kari Coleman,The Smelly Car,Which movie directed by Tom Cherones features Kari Coleman?
Trey Parker,Melissa Monet,Orgazmo,Which movie directed by Trey Parker features Melissa Monet?
UT Martin Skyhawks,,Lowe Finney,Which United States politician was educated at UT Martin Skyhawks
Union Female College,,Effiegene Locke Wingo,Which United States politician was educated at Union Female College
University of California Riverside College of Humanities Arts and Social Sciences,,Mark Takano,Which United States politician was educated at University of California Riverside College of Humanities Arts and Social Sciences
University of Hawaiʻi–West Oʻahu,,Gary Hooser,Which United States politician was educated at University of Hawaiʻi–West Oʻahu
University of Illinois Police Training Institute,,Michael Benjamin Hari,Which United States politician was educated at University of Illinois Police Training Institute
University of North Carolina at Chapel Hill School of Law,,Charles Smith,Which United States politician was educated at University of North Carolina at Chapel Hill School of Law
University of Notre Dame,,Robert A. Grant,Which United States politician was educated at University of Notre Dame
University of South Carolina System,,James Butler Hare,Which United States politician was educated at University of South Carolina System
Uvalde High School,,Dolph Briscoe,Which United States politician was educated at Uvalde High School
Viggo Larsen,William Thomsen,Løvejagten,Which movie directed by Viggo Larsen features William Thomsen?
Vilonia High School,,Jimmie Lou Fisher,Which United States politician was educated at Vilonia High School
Virginia Highlands Community College,,"Charles William Carrico, Sr.",Which United States politician was educated at Virginia Highlands Community College
Wade Hampton High School,,Jim DeMint,Which United States politician was educated at Wade Hampton High School
Wael Farag,Alaa Hosny,Miss Farah,Which movie directed by Wael Farag features Alaa Hosny?
Wael Farag,Enjy Kiwan,No Activity,Which movie directed by Wael Farag features Enjy Kiwan?
Wael Farag,Hisham El Shazly,Miss Farah,Which movie directed by Wael Farag features Hisham El Shazly?
Wael Farag,Khalid Mansour,No Activity,Which movie directed by Wael Farag features Khalid Mansour?
Wael Farag,Mohamed El Amroussi,Miss Farah,Which movie directed by Wael Farag features Mohamed El Amroussi?
Wallace-Rose Hill High School,,Jason Wells,Which United States politician was educated at Wallace-Rose Hill High School
Walton High School,,Kyrsten Sinema,Which United States politician was educated at Walton High School
Ware Shoals High School,,Jeff Duncan,Which United States politician was educated at Ware Shoals High School
Waterville Senior High School,,Julius B. Levine,Which United States politician was educated at Waterville Senior High School
West Leyden High School,,Manuel Flores,Which United States politician was educated at West Leyden High School
Westside High School,,Terence Roberts,Which United States politician was educated at Westside High School
Wewahitchka High School,,Billy Joe Rish,Which United States politician was educated at Wewahitchka High School
White Hall High School,,Sonny Johnson,Which United States politician was educated at White Hall High School
William A. Seiter,Charles McHugh,Smiling Irish Eyes,Which movie directed by William A. Seiter features Charles McHugh?
William A. Seiter,Jane Hamilton,Roberta,Which movie directed by William A. Seiter features Jane Hamilton?
William A. Seiter,William H. Strauss,Smiling Irish Eyes,Which movie directed by William A. Seiter features William H. Strauss?
Willows High School,,Barbara Millicent Roberts,Which United States politician was educated at Willows High School
Windom College,,Oliver A. Anderson,Which United States politician was educated at Windom College
Wong Jing,Alan Chui,I Corrupt All Cops,Which movie directed by Wong Jing features Alan Chui?
Wong Jing,Michiko Nishiwaki,God of Gamblers,Which movie directed by Wong Jing features Michiko Nishiwaki?
Wong Jing,Wu Yijiang,Raped By Angel 4 The Rapist's Union,Which movie directed by Wong Jing features Wu Yijiang?
York County Community College,,David Dutremble,Which United States politician was educated at York County Community College
charter school,,"John Dingell, Jr.",Which United States politician was educated at charter school
