domain,head_entity,tail_entity,ungrounded_question,grounded_question,ground_truth,head_sitelinks,tail_sitelinks
short_film,David Lynch,Idem Paris,"When was the short film ""Idem Paris"" released?","When was David Lynch's short film ""Idem Paris"" released?",2013-01-01,105,2
short_film,David Lynch,Lady Blue Shanghai,"When was the short film ""Lady Blue Shanghai"" released?","When was David Lynch's short film ""Lady Blue Shanghai"" released?",2010-01-01,105,4
short_film,David Lynch,Premonition Following an Evil Deed,"When was the short film ""Premonition Following an Evil Deed"" released?","When was David Lynch's short film ""Premonition Following an Evil Deed"" released?",1995-01-01,105,2
short_film,David Lynch,Six Men Getting Sick,"When was the short film ""Six Men Getting Sick"" released?","When was David Lynch's short film ""Six Men Getting Sick"" released?",1967-01-01,105,6
short_film,David Lynch,The Adventures of Alan R.,"When was the short film ""The Adventures of Alan R."" released?","When was David Lynch's short film ""The Adventures of Alan R."" released?",2020-07-07,105,0
short_film,David Lynch,The Alphabet,"When was the short film ""The Alphabet"" released?","When was David Lynch's short film ""The Alphabet"" released?",1968-01-01,105,1
short_film,David Lynch,The Cowboy and the Frenchman,"When was the short film ""The Cowboy and the Frenchman"" released?","When was David Lynch's short film ""The Cowboy and the Frenchman"" released?",1988-01-01,105,3
short_film,David Lynch,The Grandmother,"When was the short film ""The Grandmother"" released?","When was David Lynch's short film ""The Grandmother"" released?",1970-01-01,105,2
short_film,David Lynch,The Story of a Small Bug,"When was the short film ""The Story of a Small Bug"" released?","When was David Lynch's short film ""The Story of a Small Bug"" released?",2020-06-12,105,0
short_film,David Lynch,What Did Jack Do?,"When was the short film ""What Did Jack Do?"" released?","When was David Lynch's short film ""What Did Jack Do?"" released?",2017-01-01,105,6
short_film,Demi Moore,Streak,"When was the short film ""Streak"" released?","When was Demi Moore's short film ""Streak"" released?",2008-01-01,111,1
short_film,Denis Villeneuve,Next Floor,"When was the short film ""Next Floor"" released?","When was Denis Villeneuve's short film ""Next Floor"" released?",2008-01-01,65,5
short_film,Denis Villeneuve,REW FFWD,"When was the short film ""REW FFWD"" released?","When was Denis Villeneuve's short film ""REW FFWD"" released?",1994-01-01,65,0
short_film,Dianna Agron,A Fuchsia Elephant,"When was the short film ""A Fuchsia Elephant"" released?","When was Dianna Agron's short film ""A Fuchsia Elephant"" released?",2009-01-01,58,1
short_film,Dr. Dre,Murder Was the Case,"When was the short film ""Murder Was the Case"" released?","When was Dr. Dre's short film ""Murder Was the Case"" released?",1994-01-01,93,1
short_film,D. W. Griffith,A Baby's Shoe,"When was the short film ""A Baby's Shoe"" released?","When was D. W. Griffith's short film ""A Baby's Shoe"" released?",1909-01-01,79,1
short_film,D. W. Griffith,A Blot on the 'Scutcheon,"When was the short film ""A Blot on the 'Scutcheon"" released?","When was D. W. Griffith's short film ""A Blot on the 'Scutcheon"" released?",1912-01-01,79,2
short_film,D. W. Griffith,A Change of Heart,"When was the short film ""A Change of Heart"" released?","When was D. W. Griffith's short film ""A Change of Heart"" released?",1909-01-01,79,2
short_film,D. W. Griffith,A Change of Spirit,"When was the short film ""A Change of Spirit"" released?","When was D. W. Griffith's short film ""A Change of Spirit"" released?",1912-01-01,79,9
short_film,D. W. Griffith,A Child's Faith,"When was the short film ""A Child's Faith"" released?","When was D. W. Griffith's short film ""A Child's Faith"" released?",1910-01-01,79,2
short_film,D. W. Griffith,A Child's Impulse,"When was the short film ""A Child's Impulse"" released?","When was D. W. Griffith's short film ""A Child's Impulse"" released?",1910-01-01,79,1
short_film,D. W. Griffith,A Child's Remorse,"When was the short film ""A Child's Remorse"" released?","When was D. W. Griffith's short film ""A Child's Remorse"" released?",1912-01-01,79,2
short_film,D. W. Griffith,A Child's Stratagem,"When was the short film ""A Child's Stratagem"" released?","When was D. W. Griffith's short film ""A Child's Stratagem"" released?",1910-01-01,79,2
short_film,D. W. Griffith,A Convict's Sacrifice,"When was the short film ""A Convict's Sacrifice"" released?","When was D. W. Griffith's short film ""A Convict's Sacrifice"" released?",1909-01-01,79,2
short_film,D. W. Griffith,A Country Cupid,"When was the short film ""A Country Cupid"" released?","When was D. W. Griffith's short film ""A Country Cupid"" released?",1911-01-01,79,9
short_film,D. W. Griffith,A Decree of Destiny,"When was the short film ""A Decree of Destiny"" released?","When was D. W. Griffith's short film ""A Decree of Destiny"" released?",1911-01-01,79,9
short_film,D. W. Griffith,A Fair Exchange,"When was the short film ""A Fair Exchange"" released?","When was D. W. Griffith's short film ""A Fair Exchange"" released?",1909-01-01,79,3
short_film,D. W. Griffith,A Feud in the Kentucky Hills,"When was the short film ""A Feud in the Kentucky Hills"" released?","When was D. W. Griffith's short film ""A Feud in the Kentucky Hills"" released?",1912-01-01,79,9
short_film,D. W. Griffith,A Girl's Stratagem,"When was the short film ""A Girl's Stratagem"" released?","When was D. W. Griffith's short film ""A Girl's Stratagem"" released?",1913-01-01,79,9
short_film,D. W. Griffith,A Knight of the Road,"When was the short film ""A Knight of the Road"" released?","When was D. W. Griffith's short film ""A Knight of the Road"" released?",1911-01-01,79,1
short_film,D. W. Griffith,A Knot in the Plot,"When was the short film ""A Knot in the Plot"" released?","When was D. W. Griffith's short film ""A Knot in the Plot"" released?",1910-01-01,79,1
short_film,D. W. Griffith,A Lodging for the Night,"When was the short film ""A Lodging for the Night"" released?","When was D. W. Griffith's short film ""A Lodging for the Night"" released?",1912-01-01,79,3
short_film,D. W. Griffith,A Midnight Adventure,"When was the short film ""A Midnight Adventure"" released?","When was D. W. Griffith's short film ""A Midnight Adventure"" released?",1909-01-01,79,2
short_film,D. W. Griffith,A Midnight Cupid,"When was the short film ""A Midnight Cupid"" released?","When was D. W. Griffith's short film ""A Midnight Cupid"" released?",1910-01-01,79,1
short_film,D. W. Griffith,A Misappropriated Turkey,"When was the short film ""A Misappropriated Turkey"" released?","When was D. W. Griffith's short film ""A Misappropriated Turkey"" released?",1913-01-01,79,9
short_film,D. W. Griffith,A Misunderstood Boy,"When was the short film ""A Misunderstood Boy"" released?","When was D. W. Griffith's short film ""A Misunderstood Boy"" released?",1913-01-01,79,8
short_film,D. W. Griffith,A Mohawk's Way,"When was the short film ""A Mohawk's Way"" released?","When was D. W. Griffith's short film ""A Mohawk's Way"" released?",1910-01-01,79,7
short_film,D. W. Griffith,An Adventure in the Autumn Woods,"When was the short film ""An Adventure in the Autumn Woods"" released?","When was D. W. Griffith's short film ""An Adventure in the Autumn Woods"" released?",1913-01-01,79,9
short_film,D. W. Griffith,An Affair of Hearts,"When was the short film ""An Affair of Hearts"" released?","When was D. W. Griffith's short film ""An Affair of Hearts"" released?",1910-01-01,79,3
short_film,D. W. Griffith,A New Trick,"When was the short film ""A New Trick"" released?","When was D. W. Griffith's short film ""A New Trick"" released?",1909-01-01,79,4
short_film,D. W. Griffith,An Indian Summer,"When was the short film ""An Indian Summer"" released?","When was D. W. Griffith's short film ""An Indian Summer"" released?",1912-01-01,79,1
short_film,D. W. Griffith,An Old Story with a New Ending,"When was the short film ""An Old Story with a New Ending"" released?","When was D. W. Griffith's short film ""An Old Story with a New Ending"" released?",1910-01-01,79,2
short_film,D. W. Griffith,An Outcast Among Outcasts,"When was the short film ""An Outcast Among Outcasts"" released?","When was D. W. Griffith's short film ""An Outcast Among Outcasts"" released?",1912-01-01,79,9
short_film,D. W. Griffith,A Plain Song,"When was the short film ""A Plain Song"" released?","When was D. W. Griffith's short film ""A Plain Song"" released?",1910-01-01,79,1
short_film,D. W. Griffith,A Pueblo Legend,"When was the short film ""A Pueblo Legend"" released?","When was D. W. Griffith's short film ""A Pueblo Legend"" released?",1912-01-01,79,3
short_film,D. W. Griffith,A Rich Revenge,"When was the short film ""A Rich Revenge"" released?","When was D. W. Griffith's short film ""A Rich Revenge"" released?",1910-01-01,79,2
short_film,D. W. Griffith,A Romany Tragedy,"When was the short film ""A Romany Tragedy"" released?","When was D. W. Griffith's short film ""A Romany Tragedy"" released?",1911-01-01,79,2
short_film,D. W. Griffith,A Salutary Lesson,"When was the short film ""A Salutary Lesson"" released?","When was D. W. Griffith's short film ""A Salutary Lesson"" released?",1910-01-01,79,2
short_film,D. W. Griffith,As in a Looking Glass,"When was the short film ""As in a Looking Glass"" released?","When was D. W. Griffith's short film ""As in a Looking Glass"" released?",1911-01-01,79,1
short_film,D. W. Griffith,A Siren of Impulse,"When was the short film ""A Siren of Impulse"" released?","When was D. W. Griffith's short film ""A Siren of Impulse"" released?",1912-01-01,79,2
short_film,D. W. Griffith,A Sister's Love,"When was the short film ""A Sister's Love"" released?","When was D. W. Griffith's short film ""A Sister's Love"" released?",1912-01-01,79,9
short_film,D. W. Griffith,As the Bells Rang Out!,"When was the short film ""As the Bells Rang Out!"" released?","When was D. W. Griffith's short film ""As the Bells Rang Out!"" released?",1910-01-01,79,1
short_film,D. W. Griffith,A Strange Meeting,"When was the short film ""A Strange Meeting"" released?","When was D. W. Griffith's short film ""A Strange Meeting"" released?",1909-01-01,79,4
short_film,D. W. Griffith,A String of Pearls,"When was the short film ""A String of Pearls"" released?","When was D. W. Griffith's short film ""A String of Pearls"" released?",1912-01-01,79,9
short_film,D. W. Griffith,A Summer Idyll,"When was the short film ""A Summer Idyll"" released?","When was D. W. Griffith's short film ""A Summer Idyll"" released?",1910-01-01,79,2
short_film,D. W. Griffith,A Summer Tragedy,"When was the short film ""A Summer Tragedy"" released?","When was D. W. Griffith's short film ""A Summer Tragedy"" released?",1910-01-01,79,2
short_film,D. W. Griffith,A Sweet Revenge,"When was the short film ""A Sweet Revenge"" released?","When was D. W. Griffith's short film ""A Sweet Revenge"" released?",1909-01-01,79,2
short_film,D. W. Griffith,A Tale of the Wilderness,"When was the short film ""A Tale of the Wilderness"" released?","When was D. W. Griffith's short film ""A Tale of the Wilderness"" released?",1912-01-01,79,2
short_film,D. W. Griffith,A Temporary Truce,"When was the short film ""A Temporary Truce"" released?","When was D. W. Griffith's short film ""A Temporary Truce"" released?",1912-01-01,79,8
short_film,D. W. Griffith,A Terrible Discovery,"When was the short film ""A Terrible Discovery"" released?","When was D. W. Griffith's short film ""A Terrible Discovery"" released?",1911-01-01,79,2
short_film,D. W. Griffith,A Timely Interception,"When was the short film ""A Timely Interception"" released?","When was D. W. Griffith's short film ""A Timely Interception"" released?",1913-01-01,79,9
short_film,D. W. Griffith,A Troublesome Satchel,"When was the short film ""A Troublesome Satchel"" released?","When was D. W. Griffith's short film ""A Troublesome Satchel"" released?",1909-01-01,79,2
short_film,D. W. Griffith,A Victim of Jealousy,"When was the short film ""A Victim of Jealousy"" released?","When was D. W. Griffith's short film ""A Victim of Jealousy"" released?",1910-01-01,79,2
short_film,D. W. Griffith,A Welcome Intruder,"When was the short film ""A Welcome Intruder"" released?","When was D. W. Griffith's short film ""A Welcome Intruder"" released?",1913-01-01,79,6
short_film,D. W. Griffith,A Wreath of Orange Blossoms,"When was the short film ""A Wreath of Orange Blossoms"" released?","When was D. W. Griffith's short film ""A Wreath of Orange Blossoms"" released?",1911-01-01,79,2
short_film,D. W. Griffith,Billy's Stratagem,"When was the short film ""Billy's Stratagem"" released?","When was D. W. Griffith's short film ""Billy's Stratagem"" released?",1912-01-01,79,2
short_film,D. W. Griffith,Black Sheep,"When was the short film ""Black Sheep"" released?","When was D. W. Griffith's short film ""Black Sheep"" released?",1912-01-01,79,2
short_film,D. W. Griffith,"Bobby, the Coward","When was the short film ""Bobby, the Coward"" released?","When was D. W. Griffith's short film ""Bobby, the Coward"" released?",1911-01-01,79,2
short_film,D. W. Griffith,Broken Ways,"When was the short film ""Broken Ways"" released?","When was D. W. Griffith's short film ""Broken Ways"" released?",1913-01-01,79,9
short_film,D. W. Griffith,Confidence,"When was the short film ""Confidence"" released?","When was D. W. Griffith's short film ""Confidence"" released?",1909-01-01,79,3
short_film,D. W. Griffith,Conscience,"When was the short film ""Conscience"" released?","When was D. W. Griffith's short film ""Conscience"" released?",1911-01-01,79,2
short_film,D. W. Griffith,Dan the Dandy,"When was the short film ""Dan the Dandy"" released?","When was D. W. Griffith's short film ""Dan the Dandy"" released?",1911-01-01,79,2
short_film,D. W. Griffith,Dramas Produced By American Mutoscope And Biograph Co. Pt 1,"When was the short film ""Dramas Produced By American Mutoscope And Biograph Co. Pt 1"" released?","When was D. W. Griffith's short film ""Dramas Produced By American Mutoscope And Biograph Co. Pt 1"" released?",1909-01-01,79,0
short_film,D. W. Griffith,Dramas Produced By American Mutoscope And Biograph Co. Pt 2,"When was the short film ""Dramas Produced By American Mutoscope And Biograph Co. Pt 2"" released?","When was D. W. Griffith's short film ""Dramas Produced By American Mutoscope And Biograph Co. Pt 2"" released?",1909-01-01,79,0
short_film,D. W. Griffith,Dramas Produced By Biograph Company. Pt 1,"When was the short film ""Dramas Produced By Biograph Company. Pt 1"" released?","When was D. W. Griffith's short film ""Dramas Produced By Biograph Company. Pt 1"" released?",1911-01-01,79,0
short_film,D. W. Griffith,Dramas Produced By Biograph Company. Pt 2,"When was the short film ""Dramas Produced By Biograph Company. Pt 2"" released?","When was D. W. Griffith's short film ""Dramas Produced By Biograph Company. Pt 2"" released?",1912-01-01,79,0
short_film,D. W. Griffith,Drink's Lure,"When was the short film ""Drink's Lure"" released?","When was D. W. Griffith's short film ""Drink's Lure"" released?",1913-01-01,79,2
short_film,D. W. Griffith,Eloping with Auntie,"When was the short film ""Eloping with Auntie"" released?","When was D. W. Griffith's short film ""Eloping with Auntie"" released?",1909-01-01,79,1
short_film,D. W. Griffith,Eradicating Aunty,"When was the short film ""Eradicating Aunty"" released?","When was D. W. Griffith's short film ""Eradicating Aunty"" released?",1909-01-01,79,1
short_film,D. W. Griffith,Examination Day at School,"When was the short film ""Examination Day at School"" released?","When was D. W. Griffith's short film ""Examination Day at School"" released?",1910-01-01,79,1
short_film,D. W. Griffith,Fate,"When was the short film ""Fate"" released?","When was D. W. Griffith's short film ""Fate"" released?",1913-01-01,79,9
short_film,D. W. Griffith,Fate's Interception,"When was the short film ""Fate's Interception"" released?","When was D. W. Griffith's short film ""Fate's Interception"" released?",1912-04-08,79,3
short_film,D. W. Griffith,Fate's Turning,"When was the short film ""Fate's Turning"" released?","When was D. W. Griffith's short film ""Fate's Turning"" released?",1911-01-01,79,9
short_film,D. W. Griffith,Fighting Blood,"When was the short film ""Fighting Blood"" released?","When was D. W. Griffith's short film ""Fighting Blood"" released?",1911-01-01,79,9
short_film,D. W. Griffith,Fisher Folks,"When was the short film ""Fisher Folks"" released?","When was D. W. Griffith's short film ""Fisher Folks"" released?",1911-02-16,79,8
short_film,D. W. Griffith,Flaming Arrows,"When was the short film ""Flaming Arrows"" released?","When was D. W. Griffith's short film ""Flaming Arrows"" released?",1911-01-01,79,2
short_film,D. W. Griffith,Gold Is Not All,"When was the short film ""Gold Is Not All"" released?","When was D. W. Griffith's short film ""Gold Is Not All"" released?",1910-01-01,79,2
short_film,D. W. Griffith,Heart Beats of Long Ago,"When was the short film ""Heart Beats of Long Ago"" released?","When was D. W. Griffith's short film ""Heart Beats of Long Ago"" released?",1911-01-01,79,9
short_film,D. W. Griffith,Heaven Avenges,"When was the short film ""Heaven Avenges"" released?","When was D. W. Griffith's short film ""Heaven Avenges"" released?",1912-01-01,79,1
short_film,D. W. Griffith,Her Father's Pride,"When was the short film ""Her Father's Pride"" released?","When was D. W. Griffith's short film ""Her Father's Pride"" released?",1910-01-01,79,2
short_film,D. W. Griffith,Her Mother's Oath,"When was the short film ""Her Mother's Oath"" released?","When was D. W. Griffith's short film ""Her Mother's Oath"" released?",1913-01-01,79,1
short_film,D. W. Griffith,Her Sacrifice,"When was the short film ""Her Sacrifice"" released?","When was D. W. Griffith's short film ""Her Sacrifice"" released?",1911-01-01,79,2
short_film,D. W. Griffith,Her Terrible Ordeal,"When was the short film ""Her Terrible Ordeal"" released?","When was D. W. Griffith's short film ""Her Terrible Ordeal"" released?",1910-01-01,79,1
short_film,D. W. Griffith,His Daughter,"When was the short film ""His Daughter"" released?","When was D. W. Griffith's short film ""His Daughter"" released?",1911-01-01,79,9
short_film,D. W. Griffith,His Duty,"When was the short film ""His Duty"" released?","When was D. W. Griffith's short film ""His Duty"" released?",1909-01-01,79,2
short_film,D. W. Griffith,His Last Burglary,"When was the short film ""His Last Burglary"" released?","When was D. W. Griffith's short film ""His Last Burglary"" released?",1910-01-01,79,2
short_film,D. W. Griffith,His Last Dollar,"When was the short film ""His Last Dollar"" released?","When was D. W. Griffith's short film ""His Last Dollar"" released?",1910-01-01,79,2
short_film,D. W. Griffith,His Lesson,"When was the short film ""His Lesson"" released?","When was D. W. Griffith's short film ""His Lesson"" released?",1912-01-01,79,2
short_film,D. W. Griffith,His Mother's Scarf,"When was the short film ""His Mother's Scarf"" released?","When was D. W. Griffith's short film ""His Mother's Scarf"" released?",1911-01-01,79,1
short_film,D. W. Griffith,His Mother's Son,"When was the short film ""His Mother's Son"" released?","When was D. W. Griffith's short film ""His Mother's Son"" released?",1913-01-01,79,2
short_film,D. W. Griffith,His New Lid,"When was the short film ""His New Lid"" released?","When was D. W. Griffith's short film ""His New Lid"" released?",1910-01-01,79,2
short_film,D. W. Griffith,His Sister-In-Law,"When was the short film ""His Sister-In-Law"" released?","When was D. W. Griffith's short film ""His Sister-In-Law"" released?",1910-01-01,79,2
short_film,D. W. Griffith,His Wife's Visitor,"When was the short film ""His Wife's Visitor"" released?","When was D. W. Griffith's short film ""His Wife's Visitor"" released?",1909-01-01,79,3
short_film,D. W. Griffith,Home Folks,"When was the short film ""Home Folks"" released?","When was D. W. Griffith's short film ""Home Folks"" released?",1912-01-01,79,9
short_film,D. W. Griffith,How She Triumphed,"When was the short film ""How She Triumphed"" released?","When was D. W. Griffith's short film ""How She Triumphed"" released?",1911-01-01,79,8
short_film,D. W. Griffith,In a Hempen Bag,"When was the short film ""In a Hempen Bag"" released?","When was D. W. Griffith's short film ""In a Hempen Bag"" released?",1909-01-01,79,1
short_film,D. W. Griffith,In Life's Cycle,"When was the short film ""In Life's Cycle"" released?","When was D. W. Griffith's short film ""In Life's Cycle"" released?",1910-01-01,79,1
short_film,D. W. Griffith,In the Aisles of the Wild,"When was the short film ""In the Aisles of the Wild"" released?","When was D. W. Griffith's short film ""In the Aisles of the Wild"" released?",1912-01-01,79,9
short_film,D. W. Griffith,In the Days of '49,"When was the short film ""In the Days of '49"" released?","When was D. W. Griffith's short film ""In the Days of '49"" released?",1911-01-01,79,1
short_film,D. W. Griffith,In the North Woods,"When was the short film ""In the North Woods"" released?","When was D. W. Griffith's short film ""In the North Woods"" released?",1912-01-01,79,2
short_film,D. W. Griffith,In the Season of Buds,"When was the short film ""In the Season of Buds"" released?","When was D. W. Griffith's short film ""In the Season of Buds"" released?",1910-01-01,79,9
short_film,D. W. Griffith,In the Watches of the Night,"When was the short film ""In the Watches of the Night"" released?","When was D. W. Griffith's short film ""In the Watches of the Night"" released?",1909-01-01,79,2
short_film,D. W. Griffith,In the Window Recess,"When was the short film ""In the Window Recess"" released?","When was D. W. Griffith's short film ""In the Window Recess"" released?",1909-01-01,79,1
short_film,D. W. Griffith,Iola's Promise,"When was the short film ""Iola's Promise"" released?","When was D. W. Griffith's short film ""Iola's Promise"" released?",1912-01-01,79,1
short_film,D. W. Griffith,Italian Blood,"When was the short film ""Italian Blood"" released?","When was D. W. Griffith's short film ""Italian Blood"" released?",1911-01-01,79,1
short_film,D. W. Griffith,Jealousy and the Man,"When was the short film ""Jealousy and the Man"" released?","When was D. W. Griffith's short film ""Jealousy and the Man"" released?",1909-01-01,79,2
short_film,D. W. Griffith,Just Gold,"When was the short film ""Just Gold"" released?","When was D. W. Griffith's short film ""Just Gold"" released?",1913-01-01,79,9
short_film,D. W. Griffith,Just Like a Woman,"When was the short film ""Just Like a Woman"" released?","When was D. W. Griffith's short film ""Just Like a Woman"" released?",1912-04-18,79,7
short_film,D. W. Griffith,Lena and the Geese,"When was the short film ""Lena and the Geese"" released?","When was D. W. Griffith's short film ""Lena and the Geese"" released?",1912-01-01,79,2
short_film,D. W. Griffith,Lillian Gish in a Liberty Loan Appeal,"When was the short film ""Lillian Gish in a Liberty Loan Appeal"" released?","When was D. W. Griffith's short film ""Lillian Gish in a Liberty Loan Appeal"" released?",1918-01-01,79,8
short_film,D. W. Griffith,Lines of White on a Sullen Sea,"When was the short film ""Lines of White on a Sullen Sea"" released?","When was D. W. Griffith's short film ""Lines of White on a Sullen Sea"" released?",1909-01-01,79,4
short_film,D. W. Griffith,Little Angels of Luck,"When was the short film ""Little Angels of Luck"" released?","When was D. W. Griffith's short film ""Little Angels of Luck"" released?",1910-01-01,79,2
short_film,D. W. Griffith,Love Among the Roses,"When was the short film ""Love Among the Roses"" released?","When was D. W. Griffith's short film ""Love Among the Roses"" released?",1910-01-01,79,2
short_film,D. W. Griffith,Love in the Hills,"When was the short film ""Love in the Hills"" released?","When was D. W. Griffith's short film ""Love in the Hills"" released?",1911-01-01,79,9
short_film,D. W. Griffith,Madame Rex,"When was the short film ""Madame Rex"" released?","When was D. W. Griffith's short film ""Madame Rex"" released?",1911-01-01,79,2
short_film,D. W. Griffith,Madonna of the Storm,"When was the short film ""Madonna of the Storm"" released?","When was D. W. Griffith's short film ""Madonna of the Storm"" released?",1913-01-01,79,8
short_film,D. W. Griffith,Mamma,"When was the short film ""Mamma"" released?","When was D. W. Griffith's short film ""Mamma"" released?",1909-01-01,79,1
short_film,D. W. Griffith,Man's Genesis,"When was the short film ""Man's Genesis"" released?","When was D. W. Griffith's short film ""Man's Genesis"" released?",1912-01-01,79,7
short_film,D. W. Griffith,Man's Lust for Gold,"When was the short film ""Man's Lust for Gold"" released?","When was D. W. Griffith's short film ""Man's Lust for Gold"" released?",1912-01-01,79,9
short_film,D. W. Griffith,May and December,"When was the short film ""May and December"" released?","When was D. W. Griffith's short film ""May and December"" released?",1910-01-01,79,2
short_film,D. W. Griffith,Men and Women,"When was the short film ""Men and Women"" released?","When was D. W. Griffith's short film ""Men and Women"" released?",1914-01-01,79,4
short_film,D. W. Griffith,Mr. Jones' Burglar,"When was the short film ""Mr. Jones' Burglar"" released?","When was D. W. Griffith's short film ""Mr. Jones' Burglar"" released?",1909-01-01,79,2
short_film,D. W. Griffith,Mrs. Jones' Lover,"When was the short film ""Mrs. Jones' Lover"" released?","When was D. W. Griffith's short film ""Mrs. Jones' Lover"" released?",1909-01-01,79,2
short_film,D. W. Griffith,Muggsy's First Sweetheart,"When was the short film ""Muggsy's First Sweetheart"" released?","When was D. W. Griffith's short film ""Muggsy's First Sweetheart"" released?",1910-01-01,79,1
short_film,D. W. Griffith,Never Again,"When was the short film ""Never Again"" released?","When was D. W. Griffith's short film ""Never Again"" released?",1910-01-01,79,1
short_film,D. W. Griffith,"Oh, Uncle!","When was the short film ""Oh, Uncle!"" released?","When was D. W. Griffith's short film ""Oh, Uncle!"" released?",1909-01-01,79,3
short_film,D. W. Griffith,One Busy Hour,"When was the short film ""One Busy Hour"" released?","When was D. W. Griffith's short film ""One Busy Hour"" released?",1909-01-01,79,2
short_film,D. W. Griffith,"One Is Business, the Other Crime","When was the short film ""One Is Business, the Other Crime"" released?","When was D. W. Griffith's short film ""One Is Business, the Other Crime"" released?",1912-01-01,79,9
short_film,D. W. Griffith,One Night and Then,"When was the short film ""One Night and Then"" released?","When was D. W. Griffith's short film ""One Night and Then"" released?",1910-01-01,79,2
short_film,D. W. Griffith,On the Reef,"When was the short film ""On the Reef"" released?","When was D. W. Griffith's short film ""On the Reef"" released?",1910-01-01,79,1
short_film,D. W. Griffith,Out from the Shadow,"When was the short film ""Out from the Shadow"" released?","When was D. W. Griffith's short film ""Out from the Shadow"" released?",1911-01-01,79,9
short_film,D. W. Griffith,Over Silent Paths,"When was the short film ""Over Silent Paths"" released?","When was D. W. Griffith's short film ""Over Silent Paths"" released?",1910-01-01,79,2
short_film,D. W. Griffith,Pranks,"When was the short film ""Pranks"" released?","When was D. W. Griffith's short film ""Pranks"" released?",1909-01-01,79,2
short_film,D. W. Griffith,Rose O'Salem-Town,"When was the short film ""Rose O'Salem-Town"" released?","When was D. W. Griffith's short film ""Rose O'Salem-Town"" released?",1910-01-01,79,9
short_film,D. W. Griffith,Saved from Himself,"When was the short film ""Saved from Himself"" released?","When was D. W. Griffith's short film ""Saved from Himself"" released?",1911-01-01,79,3
short_film,D. W. Griffith,Serious Sixteen,"When was the short film ""Serious Sixteen"" released?","When was D. W. Griffith's short film ""Serious Sixteen"" released?",1910-01-01,79,3
short_film,D. W. Griffith,Simple Charity,"When was the short film ""Simple Charity"" released?","When was D. W. Griffith's short film ""Simple Charity"" released?",1910-01-01,79,2
short_film,D. W. Griffith,Sunshine Sue,"When was the short film ""Sunshine Sue"" released?","When was D. W. Griffith's short film ""Sunshine Sue"" released?",1910-01-01,79,2
short_film,D. W. Griffith,Sunshine Through the Dark,"When was the short film ""Sunshine Through the Dark"" released?","When was D. W. Griffith's short film ""Sunshine Through the Dark"" released?",1911-01-01,79,1
short_film,D. W. Griffith,Sweet and Twenty,"When was the short film ""Sweet and Twenty"" released?","When was D. W. Griffith's short film ""Sweet and Twenty"" released?",1909-01-01,79,3
short_film,D. W. Griffith,Taming a Husband,"When was the short film ""Taming a Husband"" released?","When was D. W. Griffith's short film ""Taming a Husband"" released?",1910-01-01,79,2
short_film,D. W. Griffith,Teaching Dad to Like Her,"When was the short film ""Teaching Dad to Like Her"" released?","When was D. W. Griffith's short film ""Teaching Dad to Like Her"" released?",1911-01-01,79,3
short_film,D. W. Griffith,Tender Hearts,"When was the short film ""Tender Hearts"" released?","When was D. W. Griffith's short film ""Tender Hearts"" released?",1909-01-01,79,2
short_film,D. W. Griffith,That Chink at Golden Gulch,"When was the short film ""That Chink at Golden Gulch"" released?","When was D. W. Griffith's short film ""That Chink at Golden Gulch"" released?",1910-01-01,79,2
short_film,D. W. Griffith,The Adopted Brother,"When was the short film ""The Adopted Brother"" released?","When was D. W. Griffith's short film ""The Adopted Brother"" released?",1913-01-01,79,2
short_film,D. W. Griffith,The Affair of an Egg,"When was the short film ""The Affair of an Egg"" released?","When was D. W. Griffith's short film ""The Affair of an Egg"" released?",1910-01-01,79,2
short_film,D. W. Griffith,The Awakening,"When was the short film ""The Awakening"" released?","When was D. W. Griffith's short film ""The Awakening"" released?",1909-01-01,79,2
short_film,D. W. Griffith,The Baby and the Stork,"When was the short film ""The Baby and the Stork"" released?","When was D. W. Griffith's short film ""The Baby and the Stork"" released?",1911-01-01,79,2
short_film,D. W. Griffith,The Banker's Daughters,"When was the short film ""The Banker's Daughters"" released?","When was D. W. Griffith's short film ""The Banker's Daughters"" released?",1910-01-01,79,2
short_film,D. W. Griffith,The Better Way,"When was the short film ""The Better Way"" released?","When was D. W. Griffith's short film ""The Better Way"" released?",1909-01-01,79,2
short_film,D. W. Griffith,The Blind Princess and the Poet,"When was the short film ""The Blind Princess and the Poet"" released?","When was D. W. Griffith's short film ""The Blind Princess and the Poet"" released?",1911-01-01,79,9
short_film,D. W. Griffith,The Broken Cross,"When was the short film ""The Broken Cross"" released?","When was D. W. Griffith's short film ""The Broken Cross"" released?",1911-01-01,79,8
short_film,D. W. Griffith,The Broken Doll,"When was the short film ""The Broken Doll"" released?","When was D. W. Griffith's short film ""The Broken Doll"" released?",1910-01-01,79,2
short_film,D. W. Griffith,The Broken Locket,"When was the short film ""The Broken Locket"" released?","When was D. W. Griffith's short film ""The Broken Locket"" released?",1909-01-01,79,3
short_film,D. W. Griffith,The Call,"When was the short film ""The Call"" released?","When was D. W. Griffith's short film ""The Call"" released?",1910-01-01,79,1
short_film,D. W. Griffith,The Call to Arms,"When was the short film ""The Call to Arms"" released?","When was D. W. Griffith's short film ""The Call to Arms"" released?",1910-01-01,79,2
